# 전기·전자 상장사 (한국거래소 업종분류 현황)
#
# 출처: KRX 업종분류 현황 '전기·전자' 업종. 2026-09-03 확인.
#   코스피 69곳 + 코스닥 316곳 = 385곳 (우선주 제외)
#
# 홈페이지는 KIND 상장법인목록(2,801곳)에서 종목코드로 대조해 자동으로 채웠습니다.
# 사람이 하나씩 찾지 않았습니다. 상장사라면 앞으로도 이 방법을 쓰세요.
#   https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13
#
# 뺀 곳:
#   이미 수집 중 20곳    삼성·LG·SK·한화·두산 그룹 어댑터 등
#   이미 탐지함 50곳     반도체·PCB·자동차부품 명단에서 훑었으나 미발견
#   SK하이닉스           발주처라 제외
#   홈페이지 없음 19곳    KIND 에 주소가 없는 곳
#
# 시가총액 순으로 정렬했습니다. 위쪽이 채용 규모도 큽니다.
#
# 형식: 회사명,홈페이지
# 사용법: python scripts/probe_ats1.py --urls scripts/targets_electronics.txt

풍원정밀,https://poongwon.com
우리넷,https://woori-net.com
가온그룹,https://kaonmedia.com
케이앤에스아이앤씨,https://kns-kr.com
벡트,https://vect.co.kr
트루엔,https://truen.co.kr
액스비스,https://axbis.ai
서남,https://i-sunam.com
팅크웨어,https://thinkware.co.kr
키스트론,https://kistron.com
아이디피,https://idp-corp.com
한국컴퓨터,https://kci.co.kr
해치텍,https://haechitech.com
자이글,https://zaigle.com
선도전기,https://seondo.co.kr
싸이닉솔루션,https://synic.co.kr
포커스에이아이,https://focusai.co.kr
TJ미디어,https://tjmedia.co.kr
네오뷰,https://neovue.com
빛샘전자,https://vissem.com
탑머티리얼,https://topmaterial.co.kr
바이오스마트,https://bio-smart.com
기가레인,https://gigalane.com
큐에스아이,https://qsilaser.com
현대에이치티,https://hyundaiht.co.kr
써니전자,https://sunny.co.kr
알에프텍,https://rftech.co.kr
아고스,https://humantechn.com
휴니드,https://huneed.com
코츠테크놀로지,https://cotstech.com
위닉스,https://winix.com
엠투엔,https://dkdni.co.kr
푸른로보틱스,https://puloon.co.kr
DGI,https://itxai.com
덕우전자,https://derkwoo.com
프리엠스,https://freems.co.kr
엔시스,https://n-sys.co.kr
아모센스,https://amosense.co.kr
센서뷰,https://sensor-view.com
위츠,https://ewits.co.kr
일진디스플,https://iljindisplay.co.kr
한국첨단소재,https://ppitek.com
파이오링크,https://piolink.com
윈팩,https://winpac.co.kr
코콤,https://kocom.com
에스씨디,https://sscd.co.kr
코위버,https://coweaver.co.kr
다보링크,https://davolink.co.kr
씨유테크,https://cutech.co.kr
알트,https://altech.kr
삼화전자,https://samwha.co.kr
아이컴포넌트,https://i-components.co.kr
엘컴텍,https://elcomtec.co.kr
씨아이테크,https://citech.kr
모티브링크,https://evpart.co.kr
성문전자,https://smec-korea.co.kr
옵티시스,https://opticis.com
캐프,https://capco.co.kr
이브이첨단소재,https://evam.co.kr
프로이천,https://pro-2000.co.kr
대보마그네틱,https://daebo.com
앱코,https://abko.co.kr
하츠,https://haatz.com
MSDI,https://optopac.com
마이크로투나노,https://micro2nano.com
에이텍모빌리티,https://atecmobility.com
에이텀,https://iatum.com
유티아이,https://utikorea.com
위너스일렉,https://wns21.co.kr
엑시큐어하이트론,https://hitron.co.kr
쏘닉스,https://sawnics.com
루멘스,https://lumens.co.kr
광명전기,https://kmec.co.kr
상신전자,https://sangshin-e.com
서전기전,https://sjem.co.kr
디에이피,https://dapmc.co.kr
백금T&A,https://bgtna.com
에스디시스템,https://sdsystem.co.kr
셀피글로벌,https://cardnsoft.com
동일기연,https://dongiltech.co.kr
유니온바이오메트릭스,https://unioncomm.co.kr
경인전자,https://kie.co.kr
성우전자,https://swei.co.kr
테크엘,https://bec.co.kr
포톤,https://biologdevice.com
기산텔레콤,https://kisantel.co.kr
DH오토웨어,https://dhautoware.co.kr
포인트모바일,https://pointmobile.com
화인써키트,https://finecircuit.co.kr
파인디지털,https://finedigital.com
시그네틱스,https://signetics.com
파인디앤씨,https://finednc.co.kr
캠시스,https://cammsys.net
신화콘텍,https://sh-ct.co.kr
오디텍,https://od-tech.com
엣지파운드리,https://truwin.co.kr
우리이앤엘하루틴,https://wooreeenl.co.kr
아틀라스링크,https://aloys.co.kr
링크드,https://linkedseoul.com
파인테크닉스,https://finetechnix.com
하이딥,https://hideep.com
에스코넥,https://s-connect.co.kr
성우테크론,https://swmv.co.kr
에이루트,https://aroot.co.kr
S&K폴리텍,https://snkpolytec.com
아이씨에이치,https://ch-ich.com
씨엔플러스,https://icnplus.com
파버나인,https://pavonine.net
디지아이,https://dgi-net.com
에스프리즘,https://s-fuelcell.com
서울전자통신,https://seoulset.com
에프알텍,https://frtek.co.kr
파루,https://paru.co.kr
알엔투테크놀로지,https://rn2.co.kr
세진티에스,https://sejints.co.kr
모아텍,https://moatech.co.kr
피앤씨테크,https://pnctech.co.kr
엔시트론,https://neofidelity.com
다산솔루에타,https://solueta.com
시지트로닉스,https://sigetronics.com
아이에이,https://ia-inc.kr
에스에너지,https://s-energy.co.kr
인터엠,https://inter-m.co.kr
유아이디,https://uidkorea.co.kr
삼영에스앤씨,https://samyoungsnc.com
육일씨엔에쓰,https://61cns.co.kr
핌스,https://pimskorea.com
웰킵스하이텍,https://welkeepshitech.com
비츠로시스,https://vitzrosys.com
더코디,https://thecodi.kr
나노씨엠에스,https://nanocms.co.kr
주연테크,https://jooyon.co.kr
에이엔피,https://anpcb.co.kr
삼영이엔씨,https://samyungenc.com
케스피온,https://kespion.co.kr
앤씨앤,https://nc-and.com
케이이엠텍,https://kem-tech.co.kr
캐리,https://willings.co.kr
