# IT 서비스 상장사 (한국거래소 업종분류 현황)
#
# 출처: KRX 업종분류 현황 'IT 서비스' 업종. 2026-09-04 확인.
#   코스피 25곳 + 코스닥 230곳 = 254곳 (우선주 제외)
#
# 홈페이지는 KIND 상장법인목록에서 종목코드로 대조해 자동으로 채웠습니다.
#   https://kind.krx.co.kr/corpgeneral/corpList.do?method=download&searchType=13
#
# 이 업종을 넣는 이유
#   사이트를 '자동차부품 채용' 에서 '산업별 채용 통합 검색' 으로 넓히기로 했습니다.
#   IT 는 포털·게임·SI 가 많아 기존 방문자층(자동차 전장·반도체 설계)과 겹치지
#   않습니다. 다만 자율주행·AI 처럼 접점이 있는 회사가 섞여 있을 수 있어,
#   탐지 결과를 보고 산업 분류를 정합니다.
#
# 뺀 곳: 이미 수집 중 3곳 · 이미 탐지함 9곳 · 홈페이지 없음 11곳
#
# 시가총액 순으로 정렬했습니다.
#
# 형식: 회사명,홈페이지
# 사용법: python scripts/probe_ats1.py --urls scripts/targets_it.txt

NAVER,https://navercorp.com
삼성에스디에스,https://samsungsds.com
카카오,https://kakaocorp.com
크래프톤,https://krafton.com
LG씨엔에스,https://lgcns.com
NC,https://nc.com
넷마블,https://company.netmarble.com
NHN,https://nhn.com
펄어비스,https://pearlabyss.com
시프트업,https://shiftup.co.kr
다우기술,https://daou.co.kr
더블유게임즈,https://doubleugames.com
스피어,https://spherecorp.kr
카카오게임즈,https://kakaogames.com
아이티센글로벌,https://itcen.co.kr
넥슨게임즈,https://nexongames.co.kr
케이아이엔엑스,https://kinx.net
안랩,https://ahnlab.com
루닛,https://lunit.io
가비아,https://gabia.com
코나아이,https://konai.com
위메이드,https://wemade.com
마키나락스,https://makinarocks.ai
SOOP,https://corp.afreecatv.com
한컴,https://hancom.com
디어유,https://dear-u.co
컴투스,https://com2us.com
카페24,https://cafe24.com
네오위즈,https://neowizgames.com
다날,https://danal.co.kr
웹젠,https://company.webzen.com
위메이드맥스,https://wemademax.com
엑스게이트,https://axgate.com
리파인,https://refine.co.kr
KG이니시스,https://inicis.com
쿠콘,https://coocon.net
롯데이노베이트,https://lotteinnovate.com
키다리스튜디오,https://kidaristudio.com
아이스크림미디어,https://i-screammedia.com
셀바스AI,https://selvasai.com
